Location,geoInput,lat,lon,geoFull,geoCleanInput
Albury,"Albury, Australia",-36.0804766,146.9162795,"Albury, Albury City Council, New South Wales, 2640, Australia","Albury, Australia"
BadgerysCreek,"BadgerysCreek, Australia",-33.8816671,150.7441627,"Badgerys Creek, Sydney, Liverpool City Council, New South Wales, 2555, Australia","Badgerys Creek, Australia"
Cobar,"Cobar, Australia",-31.4983333,145.8344444,"Cobar, Cobar Shire Council, New South Wales, 2835, Australia","Cobar, Australia"
CoffsHarbour,"CoffsHarbour, Australia",-30.2962407,153.1135293,"Coffs Harbour, Coffs Harbour City Council, New South Wales, Australia","Coffs Harbour, Australia"
Moree,"Moree, Australia",-29.4617202,149.8407153,"Moree, Moree Plains Shire Council, New South Wales, 2400, Australia","Moree, Australia"
Newcastle,"Newcastle, Australia",-32.9272881,151.7812534,"Newcastle, Newcastle City Council, New South Wales, 2300, Australia","Newcastle, Australia"
NorahHead,"NorahHead, Australia",-33.2816667,151.5677778,"Norah Head, Central Coast Council, New South Wales, 2263, Australia","Norah Head, Australia"
NorfolkIsland,"NorfolkIsland, Australia",-29.0289575,167.9587289126371,"Norfolk Island, Burnt Pine, Norfolk Island, 2899, Australia","Norfolk Island, Australia"
Penrith,"Penrith, Australia",-33.7510792,150.6941684,"Penrith, Sydney, Penrith City Council, New South Wales, 2750, Australia","Penrith, Australia"
Richmond,"Richmond, Australia",-20.569655,142.9283602143393,"Richmond Shire, Queensland, 4822, Australia","Richmond, Australia"
Sydney,"Sydney, Australia",-33.8548157,151.2164539,"Sydney, New South Wales, Australia","Sydney, Australia"
SydneyAirport,"SydneyAirport, Australia",-33.9498935,151.18196819346016,"Sydney Airport, Hardie Street, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia","Sydney Airport, Australia"
WaggaWagga,"WaggaWagga, Australia",-35.115,147.3677778,"Wagga Wagga City Council, New South Wales, Australia","Wagga Wagga, Australia"
Williamtown,"Williamtown, Australia",-32.815,151.8427778,"Williamtown, Port Stephens Council, New South Wales, 2318, Australia","Williamtown, Australia"
Wollongong,"Wollongong, Australia",-34.4243941,150.89385,"Wollongong City Council, New South Wales, Australia","Wollongong, Australia"
Canberra,"Canberra, Australia",-35.2975906,149.1012676,"Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia","Canberra, Australia"
Tuggeranong,"Tuggeranong, Australia",-35.4209771,149.0921341,"District of Tuggeranong, Australian Capital Territory, Australia","Tuggeranong, Australia"
MountGinini,"MountGinini, Australia",-35.5297196,148.7726345,"Mount Ginini, Australian Capital Territory, Australia","Mount Ginini, Australia"
Ballarat,"Ballarat, Australia",-37.5622632,143.8607215,"Ballarat, City of Ballarat, Victoria, 3350, Australia","Ballarat, Australia"
Bendigo,"Bendigo, Australia",-36.7588767,144.2825931,"Bendigo, City of Greater Bendigo, Victoria, 3550, Australia","Bendigo, Australia"
Sale,"Sale, Australia",-38.1050358,147.0647902,"Sale, Shire of Wellington, Victoria, 3850, Australia","Sale, Australia"
MelbourneAirport,"MelbourneAirport, Australia",-37.667111000000006,144.83348076679553,"Melbourne Airport, Airport Drive, Melbourne Airport, City of Hume, Victoria, 3045, Australia","Melbourne Airport, Australia"
Melbourne,"Melbourne, Australia",-37.8142176,144.9631608,"Melbourne, City of Melbourne, Victoria, 3000, Australia","Melbourne, Australia"
Mildura,"Mildura, Australia",-34.1847265,142.1624972,"Mildura, Rural City of Mildura, Victoria, Australia","Mildura, Australia"
Nhil,"Nhil, Australia",-35.4713087,141.3062355,"Cowangie-Nhill Track, Big Desert, Rural City of Mildura, Victoria, 3490, Australia","Nhil, Australia"
Portland,"Portland, Australia",-38.3456231,141.6042304,"Portland, Shire of Glenelg, Victoria, 3305, Australia","Portland, Australia"
Watsonia,"Watsonia, Australia",-37.7110022,145.083635,"Watsonia, Ibbottson Street, Watsonia, City of Banyule, Victoria, 3087, Australia","Watsonia, Australia"
Dartmoor,"Dartmoor, Australia",-37.9225444,141.2766551,"Dartmoor, Shire of Glenelg, Victoria, Australia","Dartmoor, Australia"
Brisbane,"Brisbane, Australia",-27.4689682,153.0234991,"Brisbane City, Queensland, Australia","Brisbane, Australia"
Cairns,"Cairns, Australia",-16.9206657,145.7721854,"Cairns, Cairns Regional, Queensland, 4870, Australia","Cairns, Australia"
GoldCoast,"GoldCoast, Australia",-28.0023731,153.4145987,"Gold Coast City, Queensland, Australia","Gold Coast, Australia"
Townsville,"Townsville, Australia",-19.2569391,146.8239537,"Townsville, Townsville City, Queensland, 4810, Australia","Townsville, Australia"
Adelaide,"Adelaide, Australia",-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia","Adelaide, Australia"
MountGambier,"MountGambier, Australia",-37.8246698,140.7820067624113,"City of Mount Gambier, South Australia, 5290, Australia","Mount Gambier, Australia"
Nuriootpa,"Nuriootpa, Australia",-34.4693354,138.9939006,"Nuriootpa, The Barossa Council, South Australia, 5355, Australia","Nuriootpa, Australia"
Woomera,"Woomera, Australia",-31.1999142,136.8253532,"Woomera, Pastoral Unincorporated Area, South Australia, Australia","Woomera, Australia"
Albany,"Albany, Australia",-35.0247822,117.883608,"Albany, City Of Albany, Western Australia, 6330, Australia","Albany, Australia"
Witchcliffe,"Witchcliffe, Australia",-34.0263348,115.1004768,"Witchcliffe, Shire Of Augusta Margaret River, Western Australia, Australia","Witchcliffe, Australia"
PearceRAAF,"PearceRAAF, Australia",-31.6739604,116.01754351808195,"RAAF Base Pearce, Frigate Way, Bullsbrook, City Of Swan, Western Australia, Australia","Pearce RAAF, Australia"
PerthAirport,"PerthAirport, Australia",-31.9431218,115.9668059888865,"Perth Airport, Great Eastern Highway, South Guildford, City of Belmont, Western Australia, 6054, Australia","Perth Airport, Australia"
Perth,"Perth, Australia",-31.9527121,115.8604796,"Perth, City of Perth, Western Australia, 6000, Australia","Perth, Australia"
SalmonGums,"SalmonGums, Australia",-32.9815347,121.6439417,"Salmon Gums, Shire Of Esperance, Western Australia, Australia","Salmon Gums, Australia"
Walpole,"Walpole, Australia",-34.9776796,116.7310063,"Walpole, Shire Of Manjimup, Western Australia, 6398, Australia","Walpole, Australia"
Hobart,"Hobart, Australia",-42.8825088,147.3281233,"Hobart, City of Hobart, Tasmania, Australia","Hobart, Australia"
Launceston,"Launceston, Australia",-41.4340813,147.1373496,"Launceston, City of Launceston, Tasmania, 7250, Australia","Launceston, Australia"
AliceSprings,"AliceSprings, Australia",-23.6983884,133.8812885,"Alice Springs, Town of Alice Springs, Northern Territory, 0870, Australia","Alice Springs, Australia"
Darwin,"Darwin, Australia",-12.46044,130.8410469,"Darwin, City of Darwin, Northern Territory, 0800, Australia","Darwin, Australia"
Katherine,"Katherine, Australia",-14.4642313,132.2638568,"Katherine, Town of Katherine, Northern Territory, 0850, Australia","Katherine, Australia"
Uluru,"Uluru, Australia",-25.344857,131.0325171,"Uluá¹Ÿu, Macdonnell Region, Northern Territory, Australia","Uluru, Australia"
